brand,laptop_name,display_size,processor_type,graphics_card,disk_space,discount_price,old_price,rating
Dell,XPS 15 9570,15.6, Intel Core i7-8750H, NVIDIA GeForce GTX 1050 Ti (4 GB), 128 GB M.2 SSD/1 TB HDD,6099.0,6499.0,0
Asus,VivoBook 15 X512UF,15.6, Intel Core i7-8550U, NVIDIA GeForce MX130 (2 GB), 128 GB M.2 SSD/1 TB HDD,2899.0,3299.0,0
Dell,Inspiron 15 3580,15.6, Intel Core i5-8265U, AMD Radeon 520 (2 GB), 1 TB HDD,2299.0,2699.0,0
Acer,Aspire 5 A515-52G-75XJ,15.6, Intel Core i7-8565U, NVIDIA GeForce MX130 (2 GB), 1 TB HDD,2799.0,3199.0,0
Dell,Inspiron 15 3580,15.6, Intel Core i7-8565U, AMD Radeon 520 (2 GB), 1 TB HDD,2799.0,3149.0,0
Huawei,MateBook D,15.6, Intel Core i5-8250U, NVIDIA GeForce MX150 (2 GB), 128 GB SSD/1 TB HDD,2449.0,2799.0,0
Lenovo,IdeaPad 330,15.6, Intel Core i7-8550U, AMD Radeon 530 (4 GB), 128 GB M.2 SSD/1 TB HDD,2789.0,3099.0,1
Lenovo,IdeaPad S340,15.6, Intel Core i5-8265U, NVIDIA GeForce MX230 (2 GB), 128 GB M.2 SSD/1 TB HDD,2299.0,2599.0,0
HP,Pavilion 15-cs2003nx,15.6, Intel Core i5-8265U, NVIDIA GeForce MX130 (2 GB), 128 GB M.2 SSD/1 TB HDD,2699.0,2999.0,0
Acer,Swift 3 314,14.0, Intel Core i7-8565U, NVIDIA GeForce MX150 (2 GB), 128 GB SSD/1 TB HDD,3699.0,3999.0,0
Lenovo,IdeaPad S340,14.0, Intel Core i3-8145U, Intel GMA HD, 1 TB HDD,1499.0,1779.0,1
Lenovo,IdeaPad S340,14.0, Intel Core i3-8145U, Intel GMA HD, 1 TB HDD,1499.0,1779.0,1
Lenovo,IdeaPad S145,15.6, Intel Celeron 4205U, Intel GMA HD, 500 GB HDD,1039.0,1299.0,1
Dell,Inspiron 15 3580,15.6, Intel Core i5-8265U, AMD Radeon 520 (2 GB), 1 TB HDD,2199.0,2449.0,0
Lenovo,IdeaPad S340,14.0, Intel Core i5-8265U, Intel GMA HD, 1 TB HDD,1849.0,2099.0,1
HP,14-cf1001nx,14.0, Intel Core i5-8265U, AMD Radeon 530 (2 GB), 128 GB M.2 SSD/1 TB HDD,2549.0,2799.0,1
